query,query_length,subdomain_length,entropy,digit_ratio,unique_char_ratio,label,tunnel_type
vaaaakardli.pirate.sea,22,11,2.4040097573248604,0.0,0.6363636363636364,tunnel,iodine
vaaaakardli.pirate.sea,22,11,2.4040097573248604,0.0,0.6363636363636364,tunnel,iodine
laegpumiplhhpz12ynd1efljwlkjcgwy.pirate.sea,43,32,4.163909765557392,0.09375,0.625,tunnel,iodine
laegpumiplhhpz12ynd1efljwlkjcgwy.pirate.sea,43,32,4.163909765557392,0.09375,0.625,tunnel,iodine
yrbi02.pirate.sea,17,6,2.584962500721156,0.3333333333333333,1.0,tunnel,iodine
yrbi02.pirate.sea,17,6,2.584962500721156,0.3333333333333333,1.0,tunnel,iodine
zi03aA-Aaahhh-Drink-mal-ein-Jgermeister-.pirate.sea,51,40,3.9464393446710146,0.05,0.475,tunnel,iodine
zi03aA-Aaahhh-Drink-mal-ein-Jgermeister-.pirate.sea,51,40,3.9464393446710146,0.05,0.475,tunnel,iodine
zi04aA-La-flte-nave-franaise-est-retir--Crte.pirate.sea,55,44,3.689561096343497,0.045454545454545456,0.38636363636363635,tunnel,iodine
zi04aA-La-flte-nave-franaise-est-retir--Crte.pirate.sea,55,44,3.689561096343497,0.045454545454545456,0.38636363636363635,tunnel,iodine
zi05aAbBcCdDeEfFgGhHiIjJkKlLmMnNoOpPqQrRsStTuUvVwWxXyYzZ.pirate.sea,67,56,5.735926350629038,0.03571428571428571,0.9642857142857143,tunnel,iodine
zi05aAbBcCdDeEfFgGhHiIjJkKlLmMnNoOpPqQrRsStTuUvVwWxXyYzZ.pirate.sea,67,56,5.735926350629038,0.03571428571428571,0.9642857142857143,tunnel,iodine
zi1aaA0123456789.pirate.sea,27,16,3.75,0.6875,0.875,tunnel,iodine
zi1aaA0123456789.pirate.sea,27,16,3.75,0.6875,0.875,tunnel,iodine
zi1baA.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
zi1baA.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
sbhi1c.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
sbhi1c.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
obsi1d.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
obsi1d.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
obli1e.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
obli1e.pirate.sea,17,6,2.584962500721156,0.16666666666666666,1.0,tunnel,iodine
